T,G,F,CASE,value
T0009,free_cooling,electricity,integrated,0.0
T0009,free_cooling,electricity,reference,4.0
T0009,HR_DC,electricity,integrated,4.0
T0009,HR_DC,electricity,reference,0.0
T0010,electric_chiller,electricity,integrated,0.0
T0010,electric_chiller,electricity,reference,0.0
T0010,free_cooling,electricity,integrated,0.0
T0010,free_cooling,electricity,reference,4.0
T0010,HR_DC,electricity,integrated,4.0
T0010,HR_DC,electricity,reference,0.0
T0011,electric_chiller,electricity,integrated,0.0
T0011,electric_chiller,electricity,reference,0.0
T0011,free_cooling,electricity,integrated,0.0
T0011,free_cooling,electricity,reference,4.0
T0011,HR_DC,electricity,integrated,4.0
T0011,HR_DC,electricity,reference,0.0
T0012,electric_chiller,electricity,integrated,0.0
T0012,electric_chiller,electricity,reference,0.0
T0012,free_cooling,electricity,integrated,0.0
T0012,free_cooling,electricity,reference,4.0
T0012,HR_DC,electricity,integrated,4.0
T0012,HR_DC,electricity,reference,0.0
T0013,electric_chiller,electricity,integrated,0.0
T0013,electric_chiller,electricity,reference,0.0
T0013,free_cooling,electricity,integrated,0.0
T0013,free_cooling,electricity,reference,4.0
T0013,HR_DC,electricity,integrated,4.0
T0013,HR_DC,electricity,reference,0.0
T0014,electric_chiller,electricity,integrated,0.0
T0014,electric_chiller,electricity,reference,0.0
T0014,free_cooling,electricity,integrated,0.0
T0014,free_cooling,electricity,reference,4.0
T0014,HR_DC,electricity,integrated,4.0
T0014,HR_DC,electricity,reference,0.0
T0015,electric_chiller,electricity,integrated,0.0
T0015,electric_chiller,electricity,reference,0.0
T0015,free_cooling,electricity,integrated,0.0
T0015,free_cooling,electricity,reference,4.0
T0015,HR_DC,electricity,integrated,4.0
T0015,HR_DC,electricity,reference,0.0
T0016,electric_chiller,electricity,integrated,0.0
T0016,electric_chiller,electricity,reference,0.0
T0016,free_cooling,electricity,integrated,0.0
T0016,free_cooling,electricity,reference,4.0
T0016,HR_DC,electricity,integrated,4.0
T0016,HR_DC,electricity,reference,0.0
T0017,electric_chiller,electricity,integrated,0.0
T0017,electric_chiller,electricity,reference,0.0
T0017,free_cooling,electricity,integrated,0.0
T0017,free_cooling,electricity,reference,4.0
T0017,HR_DC,electricity,integrated,4.0
T0017,HR_DC,electricity,reference,0.0
T0018,electric_chiller,electricity,integrated,0.0
T0018,electric_chiller,electricity,reference,0.0
T0018,free_cooling,electricity,integrated,0.0
T0018,free_cooling,electricity,reference,4.0
T0018,HR_DC,electricity,integrated,4.0
T0018,HR_DC,electricity,reference,0.0
T0019,electric_chiller,electricity,integrated,0.0
T0019,electric_chiller,electricity,reference,0.0
T0019,free_cooling,electricity,integrated,0.0
T0019,free_cooling,electricity,reference,4.0
T0019,HR_DC,electricity,integrated,4.0
T0019,HR_DC,electricity,reference,0.0
T0020,electric_chiller,electricity,integrated,0.0
T0020,electric_chiller,electricity,reference,0.0
T0020,free_cooling,electricity,integrated,0.0
T0020,free_cooling,electricity,reference,4.0
T0020,HR_DC,electricity,integrated,4.0
T0020,HR_DC,electricity,reference,0.0
T0021,electric_chiller,electricity,integrated,0.0
T0021,electric_chiller,electricity,reference,0.0
T0021,free_cooling,electricity,integrated,0.0
T0021,free_cooling,electricity,reference,4.0
T0021,HR_DC,electricity,integrated,4.0
T0021,HR_DC,electricity,reference,0.0
T0022,electric_chiller,electricity,integrated,0.0
T0022,electric_chiller,electricity,reference,0.0
T0022,free_cooling,electricity,integrated,0.0
T0022,free_cooling,electricity,reference,4.0
T0022,HR_DC,electricity,integrated,4.0
T0022,HR_DC,electricity,reference,0.0
T0023,electric_chiller,electricity,integrated,0.0
T0023,electric_chiller,electricity,reference,0.0
T0023,free_cooling,electricity,integrated,0.0
T0023,free_cooling,electricity,reference,4.0
T0023,HR_DC,electricity,integrated,4.0
T0023,HR_DC,electricity,reference,0.0
T0024,electric_chiller,electricity,integrated,0.0
T0024,electric_chiller,electricity,reference,0.0
T0024,free_cooling,electricity,integrated,0.0
T0024,free_cooling,electricity,reference,4.0
T0024,HR_DC,electricity,integrated,4.0
T0024,HR_DC,electricity,reference,0.0
T0025,electric_chiller,electricity,integrated,0.0
T0025,electric_chiller,electricity,reference,0.0
T0025,free_cooling,electricity,integrated,0.0
T0025,free_cooling,electricity,reference,4.0
T0025,HR_DC,electricity,integrated,4.0
T0025,HR_DC,electricity,reference,0.0
T0026,electric_chiller,electricity,integrated,0.0
T0026,electric_chiller,electricity,reference,0.0
T0026,free_cooling,electricity,integrated,0.0
T0026,free_cooling,electricity,reference,4.0
T0026,HR_DC,electricity,integrated,4.0
T0026,HR_DC,electricity,reference,0.0
T0027,electric_chiller,electricity,integrated,0.0
T0027,electric_chiller,electricity,reference,0.0
T0027,free_cooling,electricity,integrated,0.0
T0027,free_cooling,electricity,reference,4.0
T0027,HR_DC,electricity,integrated,4.0
T0027,HR_DC,electricity,reference,0.0
T0028,electric_chiller,electricity,integrated,0.0
T0028,electric_chiller,electricity,reference,0.0
T0028,free_cooling,electricity,integrated,0.0
T0028,free_cooling,electricity,reference,4.0
T0028,HR_DC,electricity,integrated,4.0
T0028,HR_DC,electricity,reference,0.0
T0029,electric_chiller,electricity,integrated,0.0
T0029,electric_chiller,electricity,reference,0.0
T0029,free_cooling,electricity,integrated,0.0
T0029,free_cooling,electricity,reference,4.0
T0029,HR_DC,electricity,integrated,4.0
T0029,HR_DC,electricity,reference,0.0
T0030,electric_chiller,electricity,integrated,0.0
T0030,electric_chiller,electricity,reference,0.0
T0030,free_cooling,electricity,integrated,0.0
T0030,free_cooling,electricity,reference,4.0
T0030,HR_DC,electricity,integrated,4.0
T0030,HR_DC,electricity,reference,0.0
T0031,electric_chiller,electricity,integrated,0.0
T0031,electric_chiller,electricity,reference,0.0
T0031,free_cooling,electricity,integrated,0.0
T0031,free_cooling,electricity,reference,4.0
T0031,HR_DC,electricity,integrated,4.0
T0031,HR_DC,electricity,reference,0.0
T0032,electric_chiller,electricity,integrated,0.0
T0032,electric_chiller,electricity,reference,0.0
T0032,free_cooling,electricity,integrated,0.0
T0032,free_cooling,electricity,reference,4.0
T0032,HR_DC,electricity,integrated,4.0
T0032,HR_DC,electricity,reference,0.0
T0033,electric_chiller,electricity,integrated,0.0
T0033,electric_chiller,electricity,reference,0.0
T0033,free_cooling,electricity,integrated,0.0
T0033,free_cooling,electricity,reference,4.0
T0033,HR_DC,electricity,integrated,4.0
T0033,HR_DC,electricity,reference,0.0
T0034,electric_chiller,electricity,integrated,0.0
T0034,electric_chiller,electricity,reference,0.0
T0034,free_cooling,electricity,integrated,0.0
T0034,free_cooling,electricity,reference,4.0
T0034,HR_DC,electricity,integrated,4.0
T0034,HR_DC,electricity,reference,0.0
T0035,electric_chiller,electricity,integrated,0.0
T0035,electric_chiller,electricity,reference,0.0
T0035,free_cooling,electricity,integrated,0.0
T0035,free_cooling,electricity,reference,4.0
T0035,HR_DC,electricity,integrated,4.0
T0035,HR_DC,electricity,reference,0.0
T0036,electric_chiller,electricity,integrated,0.0
T0036,electric_chiller,electricity,reference,0.0
T0036,free_cooling,electricity,integrated,0.0
T0036,free_cooling,electricity,reference,4.0
T0036,HR_DC,electricity,integrated,4.0
T0036,HR_DC,electricity,reference,0.0
T0037,electric_chiller,electricity,integrated,0.0
T0037,electric_chiller,electricity,reference,0.0
T0037,free_cooling,electricity,integrated,0.0
T0037,free_cooling,electricity,reference,4.0
T0037,HR_DC,electricity,integrated,4.0
T0037,HR_DC,electricity,reference,0.0
T0038,electric_chiller,electricity,integrated,0.0
T0038,electric_chiller,electricity,reference,0.0
T0038,free_cooling,electricity,integrated,0.0
T0038,free_cooling,electricity,reference,4.0
T0038,HR_DC,electricity,integrated,4.0
T0038,HR_DC,electricity,reference,0.0
T0039,electric_chiller,electricity,integrated,0.0
T0039,electric_chiller,electricity,reference,0.0
T0039,free_cooling,electricity,integrated,0.0
T0039,free_cooling,electricity,reference,4.0
T0039,HR_DC,electricity,integrated,4.0
T0039,HR_DC,electricity,reference,0.0
T0040,electric_chiller,electricity,integrated,0.0
T0040,electric_chiller,electricity,reference,0.0
T0040,free_cooling,electricity,integrated,0.0
T0040,free_cooling,electricity,reference,4.0
T0040,HR_DC,electricity,integrated,4.0
T0040,HR_DC,electricity,reference,0.0
T0041,electric_chiller,electricity,integrated,0.0
T0041,electric_chiller,electricity,reference,0.0
T0041,free_cooling,electricity,integrated,0.0
T0041,free_cooling,electricity,reference,4.0
T0041,HR_DC,electricity,integrated,4.0
T0041,HR_DC,electricity,reference,0.0
T0042,electric_chiller,electricity,integrated,0.0
T0042,electric_chiller,electricity,reference,0.0
T0042,free_cooling,electricity,integrated,0.0
T0042,free_cooling,electricity,reference,4.0
T0042,HR_DC,electricity,integrated,4.0
T0042,HR_DC,electricity,reference,0.0
T0043,electric_chiller,electricity,integrated,0.0
T0043,electric_chiller,electricity,reference,0.0
T0043,free_cooling,electricity,integrated,0.0
T0043,free_cooling,electricity,reference,4.0
T0043,HR_DC,electricity,integrated,4.0
T0043,HR_DC,electricity,reference,0.0
T0044,electric_chiller,electricity,integrated,0.0
T0044,electric_chiller,electricity,reference,0.0
T0044,free_cooling,electricity,integrated,0.0
T0044,free_cooling,electricity,reference,4.0
T0044,HR_DC,electricity,integrated,4.0
T0044,HR_DC,electricity,reference,0.0
T0045,electric_chiller,electricity,integrated,0.0
T0045,electric_chiller,electricity,reference,0.0
T0045,free_cooling,electricity,integrated,0.0
T0045,free_cooling,electricity,reference,4.0
T0045,HR_DC,electricity,integrated,4.0
T0045,HR_DC,electricity,reference,0.0
T0046,electric_chiller,electricity,integrated,0.0
T0046,electric_chiller,electricity,reference,0.0
T0046,free_cooling,electricity,integrated,0.0
T0046,free_cooling,electricity,reference,4.0
T0046,HR_DC,electricity,integrated,4.0
T0046,HR_DC,electricity,reference,0.0
T0047,electric_chiller,electricity,integrated,0.0
T0047,electric_chiller,electricity,reference,0.0
T0047,free_cooling,electricity,integrated,0.0
T0047,free_cooling,electricity,reference,4.0
T0047,HR_DC,electricity,integrated,4.0
T0047,HR_DC,electricity,reference,0.0
T0048,electric_chiller,electricity,integrated,0.0
T0048,electric_chiller,electricity,reference,0.0
T0048,free_cooling,electricity,integrated,0.0
T0048,free_cooling,electricity,reference,4.0
T0048,HR_DC,electricity,integrated,4.0
T0048,HR_DC,electricity,reference,0.0
T0049,electric_chiller,electricity,integrated,0.0
T0049,electric_chiller,electricity,reference,0.0
T0049,free_cooling,electricity,integrated,0.0
T0049,free_cooling,electricity,reference,4.0
T0049,HR_DC,electricity,integrated,4.0
T0049,HR_DC,electricity,reference,0.0
T0050,electric_chiller,electricity,integrated,0.0
T0050,electric_chiller,electricity,reference,0.0
T0050,free_cooling,electricity,integrated,0.0
T0050,free_cooling,electricity,reference,4.0
T0050,HR_DC,electricity,integrated,4.0
T0050,HR_DC,electricity,reference,0.0
T0051,electric_chiller,electricity,integrated,0.0
T0051,electric_chiller,electricity,reference,0.0
T0051,free_cooling,electricity,integrated,0.0
T0051,free_cooling,electricity,reference,4.0
T0051,HR_DC,electricity,integrated,4.0
T0051,HR_DC,electricity,reference,0.0
T0052,electric_chiller,electricity,integrated,0.0
T0052,electric_chiller,electricity,reference,0.0
T0052,free_cooling,electricity,integrated,0.0
T0052,free_cooling,electricity,reference,4.0
T0052,HR_DC,electricity,integrated,4.0
T0052,HR_DC,electricity,reference,0.0
T0053,electric_chiller,electricity,integrated,0.0
T0053,electric_chiller,electricity,reference,0.0
T0053,free_cooling,electricity,integrated,0.0
T0053,free_cooling,electricity,reference,4.0
T0053,HR_DC,electricity,integrated,4.0
T0053,HR_DC,electricity,reference,0.0
T0054,electric_chiller,electricity,integrated,0.0
T0054,electric_chiller,electricity,reference,0.0
T0054,free_cooling,electricity,integrated,0.0
T0054,free_cooling,electricity,reference,4.0
T0054,HR_DC,electricity,integrated,4.0
T0054,HR_DC,electricity,reference,0.0
T0055,electric_chiller,electricity,integrated,0.0
T0055,electric_chiller,electricity,reference,0.0
T0055,free_cooling,electricity,integrated,0.0
T0055,free_cooling,electricity,reference,4.0
T0055,HR_DC,electricity,integrated,4.0
T0055,HR_DC,electricity,reference,0.0
T0056,electric_chiller,electricity,integrated,0.0
T0056,electric_chiller,electricity,reference,0.0
T0056,free_cooling,electricity,integrated,0.0
T0056,free_cooling,electricity,reference,4.0
T0056,HR_DC,electricity,integrated,4.0
T0056,HR_DC,electricity,reference,0.0
T0057,electric_chiller,electricity,integrated,0.0
T0057,electric_chiller,electricity,reference,0.0
T0057,free_cooling,electricity,integrated,0.0
T0057,free_cooling,electricity,reference,4.0
T0057,HR_DC,electricity,integrated,4.0
T0057,HR_DC,electricity,reference,0.0
T0058,electric_chiller,electricity,integrated,0.0
T0058,electric_chiller,electricity,reference,0.0
T0058,free_cooling,electricity,integrated,0.0
T0058,free_cooling,electricity,reference,4.0
T0058,HR_DC,electricity,integrated,4.0
T0058,HR_DC,electricity,reference,0.0
T0059,electric_chiller,electricity,integrated,0.0
T0059,electric_chiller,electricity,reference,0.0
T0059,free_cooling,electricity,integrated,0.0
T0059,free_cooling,electricity,reference,4.0
T0059,HR_DC,electricity,integrated,4.0
T0059,HR_DC,electricity,reference,0.0
T0060,electric_chiller,electricity,integrated,0.0
T0060,electric_chiller,electricity,reference,0.0
T0060,free_cooling,electricity,integrated,0.0
T0060,free_cooling,electricity,reference,4.0
T0060,HR_DC,electricity,integrated,4.0
T0060,HR_DC,electricity,reference,0.0
T0061,electric_chiller,electricity,integrated,0.0
T0061,electric_chiller,electricity,reference,0.0
T0061,free_cooling,electricity,integrated,0.0
T0061,free_cooling,electricity,reference,4.0
T0061,HR_DC,electricity,integrated,4.0
T0061,HR_DC,electricity,reference,0.0
T0062,electric_chiller,electricity,integrated,0.0
T0062,electric_chiller,electricity,reference,0.0
T0062,free_cooling,electricity,integrated,0.0
T0062,free_cooling,electricity,reference,4.0
T0062,HR_DC,electricity,integrated,4.0
T0062,HR_DC,electricity,reference,0.0
T0063,electric_chiller,electricity,integrated,0.0
T0063,electric_chiller,electricity,reference,0.0
T0063,free_cooling,electricity,integrated,0.0
T0063,free_cooling,electricity,reference,4.0
T0063,HR_DC,electricity,integrated,4.0
T0063,HR_DC,electricity,reference,0.0
T0064,electric_chiller,electricity,integrated,0.0
T0064,electric_chiller,electricity,reference,0.0
T0064,free_cooling,electricity,integrated,0.0
T0064,free_cooling,electricity,reference,4.0
T0064,HR_DC,electricity,integrated,4.0
T0064,HR_DC,electricity,reference,0.0
T0065,electric_chiller,electricity,integrated,0.0
T0065,electric_chiller,electricity,reference,0.0
T0065,free_cooling,electricity,integrated,0.0
T0065,free_cooling,electricity,reference,4.0
T0065,HR_DC,electricity,integrated,4.0
T0065,HR_DC,electricity,reference,0.0
T0066,electric_chiller,electricity,integrated,0.0
T0066,electric_chiller,electricity,reference,0.0
T0066,free_cooling,electricity,integrated,0.0
T0066,free_cooling,electricity,reference,4.0
T0066,HR_DC,electricity,integrated,4.0
T0066,HR_DC,electricity,reference,0.0
T0067,electric_chiller,electricity,integrated,0.0
T0067,electric_chiller,electricity,reference,0.0
T0067,free_cooling,electricity,integrated,0.0
T0067,free_cooling,electricity,reference,4.0
T0067,HR_DC,electricity,integrated,4.0
T0067,HR_DC,electricity,reference,0.0
T0068,electric_chiller,electricity,integrated,0.0
T0068,electric_chiller,electricity,reference,0.0
T0068,free_cooling,electricity,integrated,0.0
T0068,free_cooling,electricity,reference,4.0
T0068,HR_DC,electricity,integrated,4.0
T0068,HR_DC,electricity,reference,0.0
T0069,electric_chiller,electricity,integrated,0.0
T0069,electric_chiller,electricity,reference,0.0
T0069,free_cooling,electricity,integrated,0.0
T0069,free_cooling,electricity,reference,4.0
T0069,HR_DC,electricity,integrated,4.0
T0069,HR_DC,electricity,reference,0.0
T0070,electric_chiller,electricity,integrated,0.0
T0070,electric_chiller,electricity,reference,0.0
T0070,free_cooling,electricity,integrated,0.0
T0070,free_cooling,electricity,reference,4.0
T0070,HR_DC,electricity,integrated,4.0
T0070,HR_DC,electricity,reference,0.0
T0071,electric_chiller,electricity,integrated,0.0
T0071,electric_chiller,electricity,reference,0.0
T0071,free_cooling,electricity,integrated,0.0
T0071,free_cooling,electricity,reference,4.0
T0071,HR_DC,electricity,integrated,4.0
T0071,HR_DC,electricity,reference,0.0
T0072,electric_chiller,electricity,integrated,0.0
T0072,electric_chiller,electricity,reference,0.0
T0072,free_cooling,electricity,integrated,0.0
T0072,free_cooling,electricity,reference,4.0
T0072,HR_DC,electricity,integrated,4.0
T0072,HR_DC,electricity,reference,0.0
T0073,electric_chiller,electricity,integrated,0.0
T0073,electric_chiller,electricity,reference,0.0
T0073,free_cooling,electricity,integrated,0.0
T0073,free_cooling,electricity,reference,4.0
T0073,HR_DC,electricity,integrated,4.0
T0073,HR_DC,electricity,reference,0.0
T0074,electric_chiller,electricity,integrated,0.0
T0074,electric_chiller,electricity,reference,0.0
T0074,free_cooling,electricity,integrated,0.0
T0074,free_cooling,electricity,reference,4.0
T0074,HR_DC,electricity,integrated,4.0
T0074,HR_DC,electricity,reference,0.0
T0075,electric_chiller,electricity,integrated,0.0
T0075,electric_chiller,electricity,reference,0.0
T0075,free_cooling,electricity,integrated,0.0
T0075,free_cooling,electricity,reference,4.0
T0075,HR_DC,electricity,integrated,4.0
T0075,HR_DC,electricity,reference,0.0
T0076,electric_chiller,electricity,integrated,0.0
T0076,electric_chiller,electricity,reference,0.0
T0076,free_cooling,electricity,integrated,0.0
T0076,free_cooling,electricity,reference,4.0
T0076,HR_DC,electricity,integrated,4.0
T0076,HR_DC,electricity,reference,0.0
T0077,electric_chiller,electricity,integrated,0.0
T0077,electric_chiller,electricity,reference,0.0
T0077,free_cooling,electricity,integrated,0.0
T0077,free_cooling,electricity,reference,4.0
T0077,HR_DC,electricity,integrated,4.0
T0077,HR_DC,electricity,reference,0.0
T0078,electric_chiller,electricity,integrated,0.0
T0078,electric_chiller,electricity,reference,0.0
T0078,free_cooling,electricity,integrated,0.0
T0078,free_cooling,electricity,reference,4.0
T0078,HR_DC,electricity,integrated,4.0
T0078,HR_DC,electricity,reference,0.0
T0079,electric_chiller,electricity,integrated,0.0
T0079,electric_chiller,electricity,reference,0.0
T0079,free_cooling,electricity,integrated,0.0
T0079,free_cooling,electricity,reference,4.0
T0079,HR_DC,electricity,integrated,4.0
T0079,HR_DC,electricity,reference,0.0
T0080,electric_chiller,electricity,integrated,0.0
T0080,electric_chiller,electricity,reference,0.0
T0080,free_cooling,electricity,integrated,0.0
T0080,free_cooling,electricity,reference,4.0
T0080,HR_DC,electricity,integrated,4.0
T0080,HR_DC,electricity,reference,0.0
T0081,electric_chiller,electricity,integrated,0.0
T0081,electric_chiller,electricity,reference,0.0
T0081,free_cooling,electricity,integrated,0.0
T0081,free_cooling,electricity,reference,4.0
T0081,HR_DC,electricity,integrated,4.0
T0081,HR_DC,electricity,reference,0.0
T0082,electric_chiller,electricity,integrated,0.0
T0082,electric_chiller,electricity,reference,0.0
T0082,free_cooling,electricity,integrated,0.0
T0082,free_cooling,electricity,reference,4.0
T0082,HR_DC,electricity,integrated,4.0
T0082,HR_DC,electricity,reference,0.0
T0083,electric_chiller,electricity,integrated,0.0
T0083,electric_chiller,electricity,reference,0.0
T0083,free_cooling,electricity,integrated,0.0
T0083,free_cooling,electricity,reference,4.0
T0083,HR_DC,electricity,integrated,4.0
T0083,HR_DC,electricity,reference,0.0
T0084,electric_chiller,electricity,integrated,0.0
T0084,electric_chiller,electricity,reference,0.0
T0084,free_cooling,electricity,integrated,0.0
T0084,free_cooling,electricity,reference,4.0
T0084,HR_DC,electricity,integrated,4.0
T0084,HR_DC,electricity,reference,0.0
T0085,electric_chiller,electricity,integrated,0.0
T0085,electric_chiller,electricity,reference,0.0
T0085,free_cooling,electricity,integrated,0.0
T0085,free_cooling,electricity,reference,4.0
T0085,HR_DC,electricity,integrated,4.0
T0085,HR_DC,electricity,reference,0.0
T0086,electric_chiller,electricity,integrated,0.0
T0086,electric_chiller,electricity,reference,0.0
T0086,free_cooling,electricity,integrated,0.0
T0086,free_cooling,electricity,reference,4.0
T0086,HR_DC,electricity,integrated,4.0
T0086,HR_DC,electricity,reference,0.0
T0087,electric_chiller,electricity,integrated,0.0
T0087,electric_chiller,electricity,reference,0.0
T0087,free_cooling,electricity,integrated,0.0
T0087,free_cooling,electricity,reference,4.0
T0087,HR_DC,electricity,integrated,4.0
T0087,HR_DC,electricity,reference,0.0
T0088,electric_chiller,electricity,integrated,0.0
T0088,electric_chiller,electricity,reference,0.0
T0088,free_cooling,electricity,integrated,0.0
T0088,free_cooling,electricity,reference,4.0
T0088,HR_DC,electricity,integrated,4.0
T0088,HR_DC,electricity,reference,0.0
T0089,electric_chiller,electricity,integrated,0.0
T0089,electric_chiller,electricity,reference,0.0
T0089,free_cooling,electricity,integrated,0.0
T0089,free_cooling,electricity,reference,4.0
T0089,HR_DC,electricity,integrated,4.0
T0089,HR_DC,electricity,reference,0.0
T0090,electric_chiller,electricity,integrated,0.0
T0090,electric_chiller,electricity,reference,0.0
T0090,free_cooling,electricity,integrated,0.0
T0090,free_cooling,electricity,reference,4.0
T0090,HR_DC,electricity,integrated,4.0
T0090,HR_DC,electricity,reference,0.0
T0091,electric_chiller,electricity,integrated,0.0
T0091,electric_chiller,electricity,reference,0.0
T0091,free_cooling,electricity,integrated,0.0
T0091,free_cooling,electricity,reference,4.0
T0091,HR_DC,electricity,integrated,4.0
T0091,HR_DC,electricity,reference,0.0
T0092,electric_chiller,electricity,integrated,0.0
T0092,electric_chiller,electricity,reference,0.0
T0092,free_cooling,electricity,integrated,0.0
T0092,free_cooling,electricity,reference,4.0
T0092,HR_DC,electricity,integrated,4.0
T0092,HR_DC,electricity,reference,0.0
T0093,electric_chiller,electricity,integrated,0.0
T0093,electric_chiller,electricity,reference,0.0
T0093,free_cooling,electricity,integrated,0.0
T0093,free_cooling,electricity,reference,4.0
T0093,HR_DC,electricity,integrated,4.0
T0093,HR_DC,electricity,reference,0.0
T0094,electric_chiller,electricity,integrated,0.0
T0094,electric_chiller,electricity,reference,0.0
T0094,free_cooling,electricity,integrated,0.0
T0094,free_cooling,electricity,reference,4.0
T0094,HR_DC,electricity,integrated,4.0
T0094,HR_DC,electricity,reference,0.0
T0095,electric_chiller,electricity,integrated,0.0
T0095,electric_chiller,electricity,reference,0.0
T0095,free_cooling,electricity,integrated,0.0
T0095,free_cooling,electricity,reference,4.0
T0095,HR_DC,electricity,integrated,4.0
T0095,HR_DC,electricity,reference,0.0
T0096,electric_chiller,electricity,integrated,0.0
T0096,electric_chiller,electricity,reference,0.0
T0096,free_cooling,electricity,integrated,0.0
T0096,free_cooling,electricity,reference,4.0
T0096,HR_DC,electricity,integrated,4.0
T0096,HR_DC,electricity,reference,0.0
T0097,electric_chiller,electricity,integrated,0.0
T0097,electric_chiller,electricity,reference,0.0
T0097,free_cooling,electricity,integrated,0.0
T0097,free_cooling,electricity,reference,4.0
T0097,HR_DC,electricity,integrated,4.0
T0097,HR_DC,electricity,reference,0.0
T0098,electric_chiller,electricity,integrated,0.0
T0098,electric_chiller,electricity,reference,0.0
T0098,free_cooling,electricity,integrated,0.0
T0098,free_cooling,electricity,reference,4.0
T0098,HR_DC,electricity,integrated,4.0
T0098,HR_DC,electricity,reference,0.0
T0099,electric_chiller,electricity,integrated,0.0
T0099,electric_chiller,electricity,reference,0.0
T0099,free_cooling,electricity,integrated,0.0
T0099,free_cooling,electricity,reference,4.0
T0099,HR_DC,electricity,integrated,4.0
T0099,HR_DC,electricity,reference,0.0
T0100,electric_chiller,electricity,integrated,0.0
T0100,electric_chiller,electricity,reference,0.0
T0100,free_cooling,electricity,integrated,0.0
T0100,free_cooling,electricity,reference,4.0
T0100,HR_DC,electricity,integrated,4.0
T0100,HR_DC,electricity,reference,0.0
T0101,electric_chiller,electricity,integrated,0.0
T0101,electric_chiller,electricity,reference,0.0
T0101,free_cooling,electricity,integrated,0.0
T0101,free_cooling,electricity,reference,4.0
T0101,HR_DC,electricity,integrated,4.0
T0101,HR_DC,electricity,reference,0.0
T0102,electric_chiller,electricity,integrated,0.0
T0102,electric_chiller,electricity,reference,0.0
T0102,free_cooling,electricity,integrated,0.0
T0102,free_cooling,electricity,reference,4.0
T0102,HR_DC,electricity,integrated,4.0
T0102,HR_DC,electricity,reference,0.0
T0103,electric_chiller,electricity,integrated,0.0
T0103,electric_chiller,electricity,reference,0.0
T0103,free_cooling,electricity,integrated,0.0
T0103,free_cooling,electricity,reference,4.0
T0103,HR_DC,electricity,integrated,4.0
T0103,HR_DC,electricity,reference,0.0
T0104,electric_chiller,electricity,integrated,0.0
T0104,electric_chiller,electricity,reference,0.0
T0104,free_cooling,electricity,integrated,0.0
T0104,free_cooling,electricity,reference,4.0
T0104,HR_DC,electricity,integrated,4.0
T0104,HR_DC,electricity,reference,0.0
T0105,electric_chiller,electricity,integrated,0.0
T0105,electric_chiller,electricity,reference,0.0
T0105,free_cooling,electricity,integrated,0.0
T0105,free_cooling,electricity,reference,4.0
T0105,HR_DC,electricity,integrated,4.0
T0105,HR_DC,electricity,reference,0.0
T0106,electric_chiller,electricity,integrated,0.0
T0106,electric_chiller,electricity,reference,0.0
T0106,free_cooling,electricity,integrated,0.0
T0106,free_cooling,electricity,reference,4.0
T0106,HR_DC,electricity,integrated,4.0
T0106,HR_DC,electricity,reference,0.0
T0107,electric_chiller,electricity,integrated,0.0
T0107,electric_chiller,electricity,reference,0.0
T0107,free_cooling,electricity,integrated,0.0
T0107,free_cooling,electricity,reference,4.0
