InstanceCode	DateTime(UTC)	ResolutionCode	AreaCode	AreaDisplayName	AreaTypeCode	MapCode	ContractType	Sequence	Price[Currency/MWh]	Currency	UpdateTime(UTC)
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 10:30:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	65.45	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 10:45:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	65.22	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 11:00:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	65.6	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 11:15:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	67.72	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 11:30:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	69.44	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 11:45:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	70.84	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 12:00:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	64.49	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 12:15:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	70.25	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 12:30:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	74.63	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 12:45:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	81.14	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 13:00:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	65.3	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 13:15:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	74.63	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 13:30:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	88.02	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 13:45:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	98.94	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 14:00:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	62.16	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 14:15:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	86.05	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 14:30:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	98.62	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 14:45:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	111.86	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 15:00:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	80.75	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 15:15:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	110.12	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 15:30:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	141.56	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 15:45:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	192.17	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 16:00:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	146.95	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 16:15:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	200	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 16:30:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	285	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 16:45:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	381	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 17:00:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	408.5	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 17:15:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	376.39	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 17:30:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	321.94	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 17:45:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	253.14	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 18:00:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	218.03	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 18:15:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	155.25	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 18:30:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	126.82	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 18:45:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	108	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 19:00:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	130.68	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 19:15:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	121.4	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 19:30:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	102.98	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 19:45:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	97.08	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 20:00:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	108.84	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 20:15:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	101.51	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 20:30:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	95.36	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 20:45:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	88.33	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 21:00:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	94.57	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 21:15:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	91.55	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 21:30:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	91.11	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 21:45:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	85.36	EUR	2025-09-30 13:12:30
16f5b4bd40d5c632b78446205b5496af	2025-10-01 22:00:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	99.58	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-01 22:15:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	91.1	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-01 22:30:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	86.09	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-01 22:45:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	86.45	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-01 23:00:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	94.45	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-01 23:15:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	90.42	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-01 23:30:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	84.59	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-01 23:45:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	82.54	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-02 00:00:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	86.46	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-02 00:15:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	84.8	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-02 00:30:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	86.02	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-02 00:45:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	86.01	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-02 01:00:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	86.11	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-02 01:15:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	86.05	EUR	2025-10-01 11:12:10
