timestep,HP - air,HP - seawater,HP - heat recovery,electric chiller
T5184,3.831,4.241,2.896,4.357
T5185,3.753,4.241,2.896,4.441
T5186,3.725,4.241,2.896,4.471
T5187,3.684,4.241,2.896,4.517
T5188,3.718,4.241,2.896,4.479
T5189,3.781,4.241,2.896,4.41
T5190,3.853,4.241,2.896,4.334
T5191,3.975,4.241,2.896,4.212
T5192,4.055,4.241,2.896,4.136
T5193,4.122,4.241,2.896,4.075
T5194,4.199,4.241,2.896,4.006
T5195,4.271,4.241,2.896,3.945
T5196,4.354,4.241,2.896,3.877
T5197,4.392,4.241,2.896,3.846
T5198,4.45,4.241,2.896,3.801
T5199,4.47,4.241,2.896,3.785
T5200,4.45,4.241,2.896,3.801
T5201,4.401,4.241,2.896,3.839
T5202,4.401,4.241,2.896,3.839
T5203,4.354,4.241,2.896,3.877
T5204,4.289,4.241,2.896,3.93
T5205,4.28,4.241,2.896,3.938
T5206,4.244,4.241,2.896,3.968
T5207,4.191,4.241,2.896,4.014
T5208,4.088,4.241,2.896,4.106
T5209,4.064,4.241,2.896,4.128
T5210,4.039,4.241,2.896,4.151
T5211,4.023,4.241,2.896,4.166
T5212,3.983,4.241,2.896,4.205
T5213,3.975,4.241,2.896,4.212
T5214,4.08,4.241,2.896,4.113
T5215,4.28,4.241,2.896,3.938
T5216,4.411,4.241,2.896,3.831
T5217,4.47,4.241,2.896,3.785
T5218,4.52,4.241,2.896,3.747
T5219,4.582,4.241,2.896,3.702
T5220,4.678,4.241,2.896,3.633
T5221,4.689,4.241,2.896,3.625
T5222,4.722,4.241,2.896,3.603
T5223,4.71,4.241,2.896,3.61
T5224,4.835,4.241,2.896,3.526
T5225,4.722,4.241,2.896,3.603
T5226,4.645,4.241,2.896,3.656
T5227,4.592,4.241,2.896,3.694
T5228,4.49,4.241,2.896,3.77
T5229,4.382,4.241,2.896,3.854
T5230,4.335,4.241,2.896,3.892
T5231,4.28,4.241,2.896,3.938
T5232,4.208,4.241,2.896,3.999
T5233,4.199,4.241,2.896,4.006
T5234,4.156,4.241,2.896,4.045
T5235,4.13,4.241,2.896,4.067
T5236,4.023,4.241,2.896,4.166
T5237,4.007,4.241,2.896,4.182
T5238,4.064,4.241,2.896,4.128
T5239,4.244,4.241,2.896,3.968
T5240,4.344,4.241,2.896,3.885
T5241,4.48,4.241,2.896,3.778
T5242,4.678,4.241,2.896,3.633
T5243,4.847,4.241,2.896,3.519
T5244,4.835,4.241,2.896,3.526
T5245,4.906,4.241,2.896,3.481
T5246,5.041,4.241,2.896,3.397
T5247,5.079,4.241,2.896,3.374
T5248,5.066,4.241,2.896,3.382
T5249,5.016,4.241,2.896,3.412
T5250,4.918,4.241,2.896,3.473
T5251,4.823,4.241,2.896,3.534
T5252,4.656,4.241,2.896,3.648
T5253,4.561,4.241,2.896,3.717
T5254,4.335,4.241,2.896,3.892
T5255,4.191,4.241,2.896,4.014
T5256,4.139,4.241,2.896,4.06
T5257,4.13,4.241,2.896,4.067
T5258,4.147,4.241,2.896,4.052
T5259,4.139,4.241,2.896,4.06
T5260,4.105,4.241,2.896,4.09
T5261,4.08,4.241,2.896,4.113
T5262,4.147,4.241,2.896,4.052
T5263,4.182,4.241,2.896,4.022
T5264,4.226,4.241,2.896,3.984
T5265,4.289,4.241,2.896,3.93
T5266,4.421,4.241,2.896,3.824
T5267,4.603,4.241,2.896,3.686
T5268,4.882,4.241,2.896,3.496
T5269,5.066,4.241,2.896,3.382
T5270,5.184,4.241,2.896,3.313
T5271,5.293,4.241,2.896,3.252
T5272,5.335,4.241,2.896,3.229
T5273,5.131,4.241,2.896,3.344
T5274,5.066,4.241,2.896,3.382
T5275,4.778,4.241,2.896,3.564
T5276,4.656,4.241,2.896,3.648
T5277,4.603,4.241,2.896,3.686
T5278,4.5,4.241,2.896,3.763
T5279,4.46,4.241,2.896,3.793
T5280,4.354,4.241,2.896,3.877
T5281,4.271,4.241,2.896,3.945
T5282,4.298,4.241,2.896,3.923
T5283,4.316,4.241,2.896,3.907
T5284,4.235,4.241,2.896,3.976
T5285,4.182,4.241,2.896,4.022
