SelectedTimestamp,Affaldsenergianlæg,Kraftvarmeanlæg,Spidslastbiomasse,Spidslastgas,Spidslastolie,Elkedler,Varmepumper,Industrieloverskudsvarme,Overskudsvarmedatacentre,Biogas,Solvarme,CO2-Udledning
1/25/2025-11:00:00,354.878229776917,1279.10765584308,26.1668375333333,94.5791937509167,0.035265394,46.7813774744167,11.5703297455,13.5279824734167,0.114188001,0,0,6.45399109525
1/25/2025-12:00:00,357.635620117083,1278.1341552735,26.5134501455833,94.49596532175,0.035265394,21.0221875521667,12.3862962723333,12.78185820575,0.114188001,0,0,6.28271607566667
1/25/2025-13:00:00,322.89571634925,1271.70354207375,26.5488071440833,94.4075775145,0.035265394,31.1088846524167,12.4763558705833,12.9199674924167,0.114188001,0,0,6.330390215
1/25/2025-14:00:00,300.435142517083,1164.88571167,25.6114179293333,102.871185302667,0.035265394,30.0775068600833,12.3741496403333,12.9235259693333,0.114188001,0,0,7.00553739083333
1/25/2025-15:00:00,303.315160115667,1140.50541178392,26.1735323271667,110.293245951333,0.035265394,29.6913118363333,12.5329873564167,12.5698371728333,0.114188001,0,0,7.43843976666667
1/25/2025-16:00:00,311.094395955417,1124.26628621425,25.6836325329167,107.0435320535,0.035265394,14.4900564351667,12.5382157166667,11.9931458631667,0.114188001,0,0,7.287026445
1/25/2025-17:00:00,312.5898539225,1125.90144856775,26.2297395070833,96.8508885700833,0.035265394,3.77572806675,12.221270005,12.3594944476667,0.114188001,0,0,6.74058500916667
1/25/2025-18:00:00,307.7889378865,1173.64285278317,26.8685557048333,117.8784211475,0.035265394,0,12.4734699725833,12.8522080579167,0.114188001,0,0,7.35923667733333
1/25/2025-19:00:00,310.449920654167,1190.73559570308,26.1260205904167,113.950579325417,0.035265394,0,11.9888340631667,12.837801854,0.114188001,0,0,7.145872593
1/25/2025-20:00:00,316.5234858195,1185.84781901025,25.5741093954167,106.19855626425,0.035265394,0,13.8211182753333,12.517639796,0.114188001,0,0,6.85813657441667
1/25/2025-21:00:00,310.490875244083,1189.10120646167,26.1995075543333,60.3204585713333,0.035265394,0.0187764565,12.314944903,10.0414924621667,0.114188001,0,0,5.00899147975
1/25/2025-22:00:00,307.38391876225,1167.44869995117,26.8407147725,93.2187474569167,0.035265394,29.0340355634167,11.4050290583333,10.354761521,0.114188001,0,0,6.64068961158333
1/25/2025-23:00:00,303.301633199,1176.89558919267,26.61681334175,128.816350936833,0.570899825333333,13.0130598123333,10.6570821603333,13.0944032668333,0.114188001,0,0,7.925272266
1/26/2025-00:00:00,311.210116068583,1178.40582275383,26.7163527805833,157.658443450917,0.329089206416667,20.24885869025,10.6431562106667,14.1795450051667,0.114188001,0,0,9.08644159633333
1/26/2025-01:00:00,312.139658609917,1157.82987467433,25.7199346225833,158.126757304,0.342760288916667,0.17315177125,9.82846105091667,12.4633979003333,0.114188001,1.15463470408333,0,9.08932757375
1/26/2025-02:00:00,314.780975341833,1162.90038045242,25.80141194675,158.3302637735,0.417472396333333,0,9.37501303341667,12.4322672685,0.114188001,2.33057073758333,0,9.07571228341667
1/26/2025-03:00:00,314.871215820333,1156.76204427083,25.1116059620833,158.00429789225,0.28081800675,0,10.09493501975,12.335188071,0.114188001,0.15586021275,0,9.08421127
1/26/2025-04:00:00,316.036908467583,1162.41165161133,25.0532620748333,156.539843241333,0.32764171875,0,12.2997256915,12.2726296583333,0.114188001,0,0,9.00050751366667
1/26/2025-05:00:00,315.176826477333,1169.23628743475,24.9445581435833,154.0493303935,0.360777578083333,0,12.6378667355,12.1437737145833,0.114188001,0.274476647333333,0,8.88035941125
1/26/2025-06:00:00,315.119534810417,1179.60602823883,25.1839865048333,154.721791585417,0.390937274833333,0,12.444106261,12.2815783818333,0.114188001,2.34260959425,0,8.8579367795
1/26/2025-07:00:00,313.12746175125,1192.28425089508,25.6138440769167,152.077860514333,0.259832300333333,0,9.76205905275,12.3598260879167,0.114188001,0.017244375,0,8.69166946408333
1/26/2025-08:00:00,304.348027547167,1188.25669352208,25.8929866155,123.200667063333,0.035265394,0,8.94514775266667,12.6798024176667,0.114188001,0,0,7.564924399
1/26/2025-09:00:00,295.891268412167,1179.70435587558,26.2750097911667,119.388336181833,0.035265394,0,9.92307217908333,12.6471528210833,0.114188001,0,0,7.43248172591667
1/26/2025-10:00:00,303.191113789833,1174.00122070308,26.7794289588333,112.435277938833,5.25159986508333,7.92554263266667,11.4800060591667,13.2840228875833,0.114188001,0,0,7.67385832466667
1/26/2025-11:00:00,302.088239034083,1200.16941324867,26.8855029743333,89.3853645325833,9.915366888,3.05181547,13.2148008345833,12.66878891,0.114188001,0.722062190333333,0,6.97403510408333
1/26/2025-12:00:00,302.387954711833,1202.77699788408,26.7640945116667,60.7697839738333,9.47979609175,0,13.38667146375,12.8460760910833,0.114188001,1.39964448866667,0,5.77170904466667
1/26/2025-13:00:00,312.378646850583,1189.52994791642,26.8686326343333,42.0122938155833,6.01989495758333,0,13.5874546366667,13.2303405601667,0.114188001,0,0,4.76120519641667
1/26/2025-14:00:00,319.140673319417,1181.3714497885,26.7799722354167,42.0213778813333,5.08684599408333,0,13.8215750058333,12.7667304675833,0.114188001,0.081832841,0,4.73177019758333
1/26/2025-15:00:00,309.6440378825,1174.79177856442,26.81689612075,81.271191597,5.02847603958333,0,13.3437479336667,12.7364890576667,0.114188001,2.77628852925,0,6.32576704016667
1/26/2025-16:00:00,314.000717163083,1174.48325602208,26.7445092200833,134.447899500417,5.0595790545,0,13.8051331044167,12.470099767,0.114188001,1.10059023633333,0,8.44267662366667
1/26/2025-17:00:00,313.134910583583,1181.93967692058,26.7690420151667,155.084225972583,7.74951291083333,0,13.5605889956667,12.1676140625,0.114188001,0,0,9.37963136041667
1/26/2025-18:00:00,313.230840047167,975.411916097,26.7568348248333,206.875615437833,11.54968690875,0,13.3149995804167,12.4322566985,0.114188001,1.69060569,0,13.2913361390833
1/26/2025-19:00:00,311.903104146333,724.570983886583,26.76976919175,397.403668721583,106.231522401333,0,13.88019982975,12.5392238299167,0.114188001,2.58765375616667,0,29.0696202913333
1/26/2025-20:00:00,311.542243957417,771.248479207417,26.7133520445833,507.9384765625,235.617797851583,0,13.7226789793333,10.3700378735833,0.114188001,1.9793383665,0,38.5003712973333
1/26/2025-21:00:00,317.205078125083,880.0703633625,26.8361770311667,506.194252014167,180.40349578875,0.0043915485,11.1579691569167,10.13857022925,0.114188001,0,0,33.2278852463333
1/26/2025-22:00:00,334.935216267917,862.86778259275,26.6567111015833,489.486185709583,130.189147313417,18.196140647,12.0860443114167,9.17891224233333,0.114188001,0,0,30.2722109159167
1/26/2025-23:00:00,363.9875768025,810.70072428375,26.7120668093333,497.654510497917,98.1925690968333,19.7098547615833,11.2417524655,9.19193077083333,0.114188001,1.96852421275,0,29.5534219740833
1/27/2025-00:00:00,361.732177734333,805.906397501667,26.1535280543333,501.499320984083,62.1640946069167,20.1325217883333,9.59714516008333,9.15475543333333,0.114188001,0.445581303583333,0,27.7982721328333
1/27/2025-01:00:00,361.885307312083,837.352030436167,25.7595136960833,515.1215845745,41.29737790425,30.6027852695833,9.69171778366667,9.74206066116667,0.114188001,0,0,26.4209284781667
1/27/2025-02:00:00,370.395904541,896.770568847667,25.127524217,478.6289545695,27.7841065724167,31.6754016876667,9.26335724191667,9.63359665875,0.114188001,0,0,23.7609628040833
1/27/2025-03:00:00,368.0699717205,914.79141743975,24.9605875014167,457.33371226,16.2263611951667,58.89692084,9.0256690185,9.78814578058333,0.114188001,0,0,22.1549601555833
1/27/2025-04:00:00,361.827326456667,978.8712361655,25.1102283795833,438.867863972833,16.3249935309167,68.0328130721667,9.05076543508333,9.75887831066667,0.114188001,0,0,20.9278203646667
1/27/2025-05:00:00,359.77450561525,968.501871744833,25.0462182363333,331.4439671835,11.8138092755833,71.1866499583333,9.53924043966667,9.2098478475,0.114188001,0,0,17.424955686
1/27/2025-06:00:00,302.69135284425,1020.9250183105,26.4460229875,287.927856445167,6.34165740016667,47.817843596,9.19482100008333,10.896146059,0.114188001,0,0,15.3233504295
1/27/2025-07:00:00,292.622970581,1050.883972168,26.54565906525,308.985850016333,7.84021679566667,21.2722280820833,9.43199793483333,13.8663047948333,0.114188001,0,0,15.8379115264167
1/27/2025-08:00:00,296.9599227905,1022.91150410967,26.7656947770833,366.605740865083,10.7066969075833,15.96245416,12.6733071805,12.64437826475,0.114188001,0,0,18.1396722795
1/27/2025-09:00:00,292.629254659,1080.03556315108,26.7576216061667,400.393168131583,9.63645052925,19.79147020975,13.5835402011667,11.8027946153333,0.114188001,0,0,18.6127710343333
1/27/2025-10:00:00,299.595497131333,1153.59638468408,26.81908798225,356.37720743825,9.51301368075,11.21735517175,12.4784866174167,11.5289485455,0.114188001,0,0,16.5212431748333
1/27/2025-11:00:00,286.1262639365,1032.00767008467,26.863852024,331.248316447083,9.62711771316667,9.78624192858333,15.70200975725,11.5791004499167,0.114188001,2.63845753425,0,17.01071238525
1/27/2025-12:00:00,270.485463460417,788.681355794333,26.879500389,368.4381688435,10.9304897785,9.74160599716667,9.70097382866667,11.4761687120833,0.114188001,3.64311498408333,0,21.0889868736667
1/27/2025-13:00:00,311.440635681167,917.38346862775,26.7373131115833,451.789573669333,13.52618495625,9.799236536,13.4176703295,12.500465234,0.114188001,2.65013722583333,0,21.9462300935
1/27/2025-14:00:00,347.91236368825,1079.82766723633,26.3465832075833,402.550079345667,13.5030653478333,1.18040553733333,14.9557393394167,12.0706841946667,0.114188001,3.25257156283333,0,18.5154299735833
1/27/2025-15:00:00,353.719973246333,1119.43382771817,25.8388861020833,305.719395955417,11.5685287316667,0,15.5162429015,10.5855115253333,0.114188001,3.75796167041667,0,15.07100264225
1/27/2025-16:00:00,321.69038645425,1095.12903849283,23.8389779725833,216.191665649583,10.4017280735833,0,15.5280314286667,10.0954884688333,0.114188001,3.76913787933333,0,12.356641372
1/27/2025-17:00:00,319.182324727333,1043.22615559892,25.33674764625,182.59911982225,10.4601410230833,0,12.2726643085833,10.525641918,0.114188001,3.823969543,0,11.6373194059167
1/27/2025-18:00:00,315.7567952475,992.470413208083,25.9709512394167,183.390577952083,10.4595832824167,0,13.70684170725,10.55674497275,0.114188001,3.80217309783333,0,12.0142382779167
1/27/2025-19:00:00,314.747210184667,991.026016235417,26.1252336500833,182.92721557625,10.4115261236667,0,14.0180395443333,10.21717174875,0.114188001,3.78272231433333,0,12.0086436271667
1/27/2025-20:00:00,314.965764363667,962.912811279333,25.8464379310833,206.6622276305,10.38092454275,0,14.04862674075,10.1836738585833,0.114188001,3.79922439641667,0,13.1619768938333
1/27/2025-21:00:00,318.727999369333,971.0328216555,26.40504582725,284.449261983167,10.3977461655833,0,14.0718688965,10.1561817328333,0.114188001,3.77660318225,0,16.1981443564167
1/27/2025-22:00:00,336.655507405417,967.96107991525,25.7219330469167,282.390675862583,12.1332054138333,0,14.0317253271667,10.6498076915833,0.114188001,3.76787420116667,0,16.1646231810833
1/27/2025-23:00:00,356.27009836825,960.48774719225,25.0448644955833,250.823000589917,9.99405837066667,0,13.3466452756667,10.6903733411667,0.114188001,3.7912863095,0,14.8675080935
1/28/2025-00:00:00,348.643656412833,967.311904907333,25.3293622335,164.265809377,7.15269394725,16.531399273,13.7225701014167,10.5195454755833,0.114188001,3.79177067683333,0,11.3287738959167
1/28/2025-01:00:00,327.06479644775,992.663675944083,24.785891533,149.979972839333,6.91165788958333,46.7328370411667,12.1718818348333,13.713618199,0.114188001,3.76389648516667,0,10.7371922333333
1/28/2025-02:00:00,311.602325439333,1020.93825785325,24.3453664779167,149.01979700725,6.91107583041667,59.8267033895,9.39861222091667,15.0163753828333,0.114188001,3.73759208133333,0,10.60980606075
1/28/2025-03:00:00,313.365425109833,1081.93329366058,23.9308616321667,148.891702016167,6.90622858225,60.1151685714167,9.21487951275,13.87175162625,0.114188001,3.772639672,0,10.24319609
1/28/2025-04:00:00,314.967882792083,1152.68657430017,23.8826651574167,148.673924764083,6.92575657366667,60.10367266325,9.12383027858333,14.5804200966667,0.114188001,3.77122479666667,0,9.81924144441667
1/28/2025-05:00:00,314.431752522833,1164.42999267575,24.15162690475,148.97240448,6.92660653591667,60.2026653290833,8.95568354925,14.2506290276667,0.114188001,3.74930900333333,0,9.76919833825
1/28/2025-06:00:00,303.948214213167,1164.62153116858,24.995595932,146.366794586,6.955618779,62.7270390193333,8.82270383825,13.9080581665,0.114188001,3.78839337825,0,9.69388874391667
1/28/2025-07:00:00,291.602010091167,1172.29918416333,26.0067922274167,82.9286540349167,8.61123998958333,49.510626475,8.22240189716667,13.4527897835,0.114188001,3.74980759608333,0,7.20822048183333
1/28/2025-08:00:00,294.606854756583,1230.72604370117,26.5445466041667,3.07849092633333,11.9341057935833,44.7336670559167,10.4103508789167,13.0500724314167,0.114188001,3.28698943066667,0,3.79434363041667
1/28/2025-09:00:00,304.774401346917,1203.45211792,26.7237518626667,0.100000002,13.1787403425,27.03914944325,13.98033666625,13.1681704521667,0.114188001,3.163788398,0,3.69878707333333
1/28/2025-10:00:00,294.155217488583,1136.268117269,26.928082784,4.52695041975,13.9184869925,12.8332780203333,13.900047938,13.3320089974167,0.114188001,3.72590241841667,0,3.93297417975
