T,value
T0580,71.2733206503918
T0581,71.2733206503918
T0582,71.2733206503918
T0583,71.2733206503918
T0584,71.2733206503918
T0585,71.2733206503918
T0586,71.2733206503918
T0587,71.2733206503918
T0588,71.2733206503918
T0589,71.2733206503918
T0590,71.2733206503918
T0591,71.2733206503918
T0592,71.2733206503918
T0593,71.2733206503918
T0594,71.2733206503918
T0595,71.2733206503918
T0596,71.2733206503918
T0597,71.2733206503918
T0598,71.2733206503918
T0599,71.2733206503918
T0600,71.2733206503918
T0601,71.2733206503918
T0602,71.2733206503918
T0603,71.2733206503918
T0604,71.2733206503918
T0605,71.2733206503918
T0606,71.2733206503918
T0607,71.2733206503918
T0608,71.2733206503918
T0609,71.2733206503918
T0610,71.2733206503918
T0611,71.2733206503918
T0612,71.2733206503918
T0613,71.2733206503918
T0614,71.2733206503918
T0615,71.2733206503918
T0616,71.2733206503918
T0617,71.2733206503918
T0618,71.2733206503918
T0619,71.2733206503918
T0620,71.2733206503918
T0621,71.2733206503918
T0622,71.2733206503918
T0623,71.2733206503918
T0624,71.2733206503918
T0625,71.2733206503918
T0626,71.2733206503918
T0627,71.2733206503918
T0628,71.2733206503918
T0629,71.2733206503918
T0630,71.2733206503918
T0631,71.2733206503918
T0632,71.2733206503918
T0633,71.2733206503918
T0634,71.2733206503918
T0635,71.2733206503918
T0636,71.2733206503918
T0637,71.2733206503918
T0638,71.2733206503918
T0639,71.2733206503918
T0640,71.2733206503918
T0641,71.2733206503918
T0642,71.2733206503918
T0643,71.2733206503918
T0644,71.2733206503918
T0645,71.2733206503918
T0646,71.2733206503918
T0647,71.2733206503918
T0648,71.2733206503918
T0649,71.2733206503918
T0650,71.2733206503918
T0651,71.2733206503918
T0652,71.2733206503918
T0653,71.2733206503918
T0654,71.2733206503918
T0655,71.2733206503918
T0656,71.2733206503918
T0657,71.2733206503918
T0658,71.2733206503918
T0659,71.2733206503918
T0660,71.2733206503918
T0661,71.2733206503918
T0662,71.2733206503918
T0663,71.2733206503918
T0664,71.2733206503918
T0665,71.2733206503918
T0666,71.2733206503918
T0667,71.2733206503918
T0668,71.2733206503918
T0669,71.2733206503918
T0670,71.2733206503918
T0671,71.2733206503918
T0672,71.2733206503918
T0673,71.2733206503918
T0674,71.2733206503918
T0675,71.2733206503918
