timestep,HOB_EL,HP_AMBIENT,HP_PROCESS,ELECTRIC_CHILLER,FREE_COOLING,HP_RECOVERY
T0261,22.7,28.93,28.93,28.93,28.93,28.93
T0262,20.39,23.5,23.5,23.5,23.5,23.5
T0263,20.39,23.5,23.5,23.5,23.5,23.5
T0264,20.39,23.5,23.5,23.5,23.5,23.5
T0265,19.24,19.9,19.9,19.9,19.9,19.9
T0266,19.24,19.9,19.9,19.9,19.9,19.9
T0267,19.24,19.9,19.9,19.9,19.9,19.9
T0268,19.24,19.9,19.9,19.9,19.9,19.9
T0269,19.24,19.9,19.9,19.9,19.9,19.9
T0270,19.24,19.9,19.9,19.9,19.9,19.9
T0271,22.7,28.93,28.93,28.93,28.93,28.93
T0272,22.7,28.93,28.93,28.93,28.93,28.93
T0273,22.7,28.93,28.93,28.93,28.93,28.93
T0274,22.7,28.93,28.93,28.93,28.93,28.93
T0275,22.7,28.93,28.93,28.93,28.93,28.93
T0276,22.7,28.93,28.93,28.93,28.93,28.93
T0277,22.7,28.93,28.93,28.93,28.93,28.93
T0278,22.7,28.93,28.93,28.93,28.93,28.93
T0279,22.7,28.93,28.93,28.93,28.93,28.93
T0280,22.7,28.93,28.93,28.93,28.93,28.93
T0281,22.7,28.93,28.93,28.93,28.93,28.93
T0282,22.7,28.93,28.93,28.93,28.93,28.93
T0283,22.7,28.93,28.93,28.93,28.93,28.93
T0284,22.7,28.93,28.93,28.93,28.93,28.93
T0285,22.7,28.93,28.93,28.93,28.93,28.93
T0286,20.39,23.5,23.5,23.5,23.5,23.5
T0287,20.39,23.5,23.5,23.5,23.5,23.5
T0288,20.39,23.5,23.5,23.5,23.5,23.5
T0289,19.24,19.9,19.9,19.9,19.9,19.9
T0290,19.24,19.9,19.9,19.9,19.9,19.9
T0291,19.24,19.9,19.9,19.9,19.9,19.9
T0292,19.24,19.9,19.9,19.9,19.9,19.9
T0293,19.24,19.9,19.9,19.9,19.9,19.9
T0294,19.24,19.9,19.9,19.9,19.9,19.9
T0295,22.7,28.93,28.93,28.93,28.93,28.93
T0296,22.7,28.93,28.93,28.93,28.93,28.93
T0297,22.7,28.93,28.93,28.93,28.93,28.93
T0298,22.7,28.93,28.93,28.93,28.93,28.93
T0299,22.7,28.93,28.93,28.93,28.93,28.93
T0300,22.7,28.93,28.93,28.93,28.93,28.93
T0301,22.7,28.93,28.93,28.93,28.93,28.93
T0302,22.7,28.93,28.93,28.93,28.93,28.93
T0303,22.7,28.93,28.93,28.93,28.93,28.93
T0304,22.7,28.93,28.93,28.93,28.93,28.93
T0305,22.7,28.93,28.93,28.93,28.93,28.93
T0306,22.7,28.93,28.93,28.93,28.93,28.93
T0307,22.7,28.93,28.93,28.93,28.93,28.93
T0308,22.7,28.93,28.93,28.93,28.93,28.93
T0309,22.7,28.93,28.93,28.93,28.93,28.93
T0310,20.39,23.5,23.5,23.5,23.5,23.5
T0311,20.39,23.5,23.5,23.5,23.5,23.5
T0312,20.39,23.5,23.5,23.5,23.5,23.5
T0313,19.24,19.9,19.9,19.9,19.9,19.9
T0314,19.24,19.9,19.9,19.9,19.9,19.9
T0315,19.24,19.9,19.9,19.9,19.9,19.9
T0316,19.24,19.9,19.9,19.9,19.9,19.9
T0317,19.24,19.9,19.9,19.9,19.9,19.9
T0318,19.24,19.9,19.9,19.9,19.9,19.9
T0319,22.7,28.93,28.93,28.93,28.93,28.93
T0320,22.7,28.93,28.93,28.93,28.93,28.93
T0321,22.7,28.93,28.93,28.93,28.93,28.93
T0322,22.7,28.93,28.93,28.93,28.93,28.93
T0323,22.7,28.93,28.93,28.93,28.93,28.93
T0324,22.7,28.93,28.93,28.93,28.93,28.93
T0325,22.7,28.93,28.93,28.93,28.93,28.93
T0326,22.7,28.93,28.93,28.93,28.93,28.93
T0327,22.7,28.93,28.93,28.93,28.93,28.93
T0328,22.7,28.93,28.93,28.93,28.93,28.93
T0329,22.7,28.93,28.93,28.93,28.93,28.93
T0330,22.7,28.93,28.93,28.93,28.93,28.93
T0331,22.7,28.93,28.93,28.93,28.93,28.93
T0332,22.7,28.93,28.93,28.93,28.93,28.93
T0333,22.7,28.93,28.93,28.93,28.93,28.93
T0334,20.39,23.5,23.5,23.5,23.5,23.5
T0335,20.39,23.5,23.5,23.5,23.5,23.5
T0336,20.39,23.5,23.5,23.5,23.5,23.5
T0337,19.24,19.9,19.9,19.9,19.9,19.9
T0338,19.24,19.9,19.9,19.9,19.9,19.9
T0339,19.24,19.9,19.9,19.9,19.9,19.9
T0340,19.24,19.9,19.9,19.9,19.9,19.9
T0341,19.24,19.9,19.9,19.9,19.9,19.9
T0342,19.24,19.9,19.9,19.9,19.9,19.9
T0343,22.7,28.93,28.93,28.93,28.93,28.93
T0344,22.7,28.93,28.93,28.93,28.93,28.93
T0345,22.7,28.93,28.93,28.93,28.93,28.93
T0346,22.7,28.93,28.93,28.93,28.93,28.93
T0347,22.7,28.93,28.93,28.93,28.93,28.93
T0348,22.7,28.93,28.93,28.93,28.93,28.93
T0349,22.7,28.93,28.93,28.93,28.93,28.93
T0350,22.7,28.93,28.93,28.93,28.93,28.93
T0351,22.7,28.93,28.93,28.93,28.93,28.93
T0352,22.7,28.93,28.93,28.93,28.93,28.93
