timestep,HOB_EL,HP_AMBIENT,HP_PROCESS,ELECTRIC_CHILLER,FREE_COOLING,HP_RECOVERY
T0289,14.5,14.7,14.7,14.7,14.7,14.7
T0290,14.5,14.7,14.7,14.7,14.7,14.7
T0291,14.5,14.7,14.7,14.7,14.7,14.7
T0292,14.5,14.7,14.7,14.7,14.7,14.7
T0293,14.5,14.7,14.7,14.7,14.7,14.7
T0294,14.5,14.7,14.7,14.7,14.7,14.7
T0295,14.5,14.7,14.7,14.7,14.7,14.7
T0296,17.9,21.0,21.0,21.0,21.0,21.0
T0297,17.9,21.0,21.0,21.0,21.0,21.0
T0298,20.2,26.5,26.5,26.5,26.5,26.5
T0299,20.2,26.5,26.5,26.5,26.5,26.5
T0300,17.9,21.0,21.0,21.0,21.0,21.0
T0301,17.9,21.0,21.0,21.0,21.0,21.0
T0302,17.9,21.0,21.0,21.0,21.0,21.0
T0303,17.9,21.0,21.0,21.0,21.0,21.0
T0304,17.9,21.0,21.0,21.0,21.0,21.0
T0305,17.9,21.0,21.0,21.0,21.0,21.0
T0306,17.9,21.0,21.0,21.0,21.0,21.0
T0307,20.2,26.5,26.5,26.5,26.5,26.5
T0308,20.2,26.5,26.5,26.5,26.5,26.5
T0309,17.9,21.0,21.0,21.0,21.0,21.0
T0310,17.9,21.0,21.0,21.0,21.0,21.0
T0311,17.9,21.0,21.0,21.0,21.0,21.0
T0312,14.5,14.7,14.7,14.7,14.7,14.7
T0313,14.5,14.7,14.7,14.7,14.7,14.7
T0314,14.5,14.7,14.7,14.7,14.7,14.7
T0315,14.5,14.7,14.7,14.7,14.7,14.7
T0316,14.5,14.7,14.7,14.7,14.7,14.7
T0317,14.5,14.7,14.7,14.7,14.7,14.7
T0318,14.5,14.7,14.7,14.7,14.7,14.7
T0319,14.5,14.7,14.7,14.7,14.7,14.7
T0320,17.9,21.0,21.0,21.0,21.0,21.0
T0321,17.9,21.0,21.0,21.0,21.0,21.0
T0322,20.2,26.5,26.5,26.5,26.5,26.5
T0323,20.2,26.5,26.5,26.5,26.5,26.5
T0324,17.9,21.0,21.0,21.0,21.0,21.0
T0325,17.9,21.0,21.0,21.0,21.0,21.0
T0326,17.9,21.0,21.0,21.0,21.0,21.0
T0327,17.9,21.0,21.0,21.0,21.0,21.0
T0328,17.9,21.0,21.0,21.0,21.0,21.0
T0329,17.9,21.0,21.0,21.0,21.0,21.0
T0330,17.9,21.0,21.0,21.0,21.0,21.0
T0331,20.2,26.5,26.5,26.5,26.5,26.5
T0332,20.2,26.5,26.5,26.5,26.5,26.5
T0333,17.9,21.0,21.0,21.0,21.0,21.0
T0334,17.9,21.0,21.0,21.0,21.0,21.0
T0335,17.9,21.0,21.0,21.0,21.0,21.0
T0336,14.5,14.7,14.7,14.7,14.7,14.7
T0337,14.5,14.7,14.7,14.7,14.7,14.7
T0338,14.5,14.7,14.7,14.7,14.7,14.7
T0339,14.5,14.7,14.7,14.7,14.7,14.7
T0340,14.5,14.7,14.7,14.7,14.7,14.7
T0341,14.5,14.7,14.7,14.7,14.7,14.7
T0342,14.5,14.7,14.7,14.7,14.7,14.7
T0343,14.5,14.7,14.7,14.7,14.7,14.7
T0344,17.9,21.0,21.0,21.0,21.0,21.0
T0345,17.9,21.0,21.0,21.0,21.0,21.0
T0346,20.2,26.5,26.5,26.5,26.5,26.5
T0347,20.2,26.5,26.5,26.5,26.5,26.5
T0348,17.9,21.0,21.0,21.0,21.0,21.0
T0349,17.9,21.0,21.0,21.0,21.0,21.0
T0350,17.9,21.0,21.0,21.0,21.0,21.0
T0351,17.9,21.0,21.0,21.0,21.0,21.0
T0352,17.9,21.0,21.0,21.0,21.0,21.0
T0353,17.9,21.0,21.0,21.0,21.0,21.0
T0354,17.9,21.0,21.0,21.0,21.0,21.0
T0355,20.2,26.5,26.5,26.5,26.5,26.5
T0356,20.2,26.5,26.5,26.5,26.5,26.5
T0357,17.9,21.0,21.0,21.0,21.0,21.0
T0358,17.9,21.0,21.0,21.0,21.0,21.0
T0359,17.9,21.0,21.0,21.0,21.0,21.0
T0360,14.5,14.7,14.7,14.7,14.7,14.7
T0361,14.5,14.7,14.7,14.7,14.7,14.7
T0362,14.5,14.7,14.7,14.7,14.7,14.7
T0363,14.5,14.7,14.7,14.7,14.7,14.7
T0364,14.5,14.7,14.7,14.7,14.7,14.7
T0365,14.5,14.7,14.7,14.7,14.7,14.7
T0366,14.5,14.7,14.7,14.7,14.7,14.7
T0367,14.5,14.7,14.7,14.7,14.7,14.7
T0368,17.9,21.0,21.0,21.0,21.0,21.0
T0369,17.9,21.0,21.0,21.0,21.0,21.0
T0370,20.2,26.5,26.5,26.5,26.5,26.5
T0371,20.2,26.5,26.5,26.5,26.5,26.5
T0372,17.9,21.0,21.0,21.0,21.0,21.0
T0373,17.9,21.0,21.0,21.0,21.0,21.0
T0374,17.9,21.0,21.0,21.0,21.0,21.0
T0375,17.9,21.0,21.0,21.0,21.0,21.0
T0376,17.9,21.0,21.0,21.0,21.0,21.0
T0377,17.9,21.0,21.0,21.0,21.0,21.0
T0378,17.9,21.0,21.0,21.0,21.0,21.0
T0379,20.2,26.5,26.5,26.5,26.5,26.5
T0380,20.2,26.5,26.5,26.5,26.5,26.5
T0381,17.9,21.0,21.0,21.0,21.0,21.0
T0382,17.9,21.0,21.0,21.0,21.0,21.0
T0383,17.9,21.0,21.0,21.0,21.0,21.0
T0384,14.5,14.7,14.7,14.7,14.7,14.7
T0385,14.5,14.7,14.7,14.7,14.7,14.7
T0386,14.5,14.7,14.7,14.7,14.7,14.7
T0387,14.5,14.7,14.7,14.7,14.7,14.7
T0388,14.5,14.7,14.7,14.7,14.7,14.7
T0389,14.5,14.7,14.7,14.7,14.7,14.7
T0390,14.5,14.7,14.7,14.7,14.7,14.7
T0391,14.5,14.7,14.7,14.7,14.7,14.7
T0392,17.9,21.0,21.0,21.0,21.0,21.0
T0393,17.9,21.0,21.0,21.0,21.0,21.0
T0394,20.2,26.5,26.5,26.5,26.5,26.5
T0395,20.2,26.5,26.5,26.5,26.5,26.5
T0396,17.9,21.0,21.0,21.0,21.0,21.0
T0397,17.9,21.0,21.0,21.0,21.0,21.0
T0398,17.9,21.0,21.0,21.0,21.0,21.0
T0399,17.9,21.0,21.0,21.0,21.0,21.0
T0400,17.9,21.0,21.0,21.0,21.0,21.0
T0401,17.9,21.0,21.0,21.0,21.0,21.0
T0402,17.9,21.0,21.0,21.0,21.0,21.0
T0403,20.2,26.5,26.5,26.5,26.5,26.5
T0404,20.2,26.5,26.5,26.5,26.5,26.5
T0405,17.9,21.0,21.0,21.0,21.0,21.0
T0406,17.9,21.0,21.0,21.0,21.0,21.0
T0407,17.9,21.0,21.0,21.0,21.0,21.0
T0408,14.5,14.7,14.7,14.7,14.7,14.7
T0409,14.5,14.7,14.7,14.7,14.7,14.7
T0410,14.5,14.7,14.7,14.7,14.7,14.7
T0411,14.5,14.7,14.7,14.7,14.7,14.7
T0412,14.5,14.7,14.7,14.7,14.7,14.7
T0413,14.5,14.7,14.7,14.7,14.7,14.7
T0414,14.5,14.7,14.7,14.7,14.7,14.7
T0415,14.5,14.7,14.7,14.7,14.7,14.7
T0416,17.9,21.0,21.0,21.0,21.0,21.0
T0417,17.9,21.0,21.0,21.0,21.0,21.0
T0418,20.2,26.5,26.5,26.5,26.5,26.5
T0419,20.2,26.5,26.5,26.5,26.5,26.5
T0420,17.9,21.0,21.0,21.0,21.0,21.0
T0421,17.9,21.0,21.0,21.0,21.0,21.0
T0422,17.9,21.0,21.0,21.0,21.0,21.0
T0423,17.9,21.0,21.0,21.0,21.0,21.0
T0424,17.9,21.0,21.0,21.0,21.0,21.0
T0425,17.9,21.0,21.0,21.0,21.0,21.0
T0426,17.9,21.0,21.0,21.0,21.0,21.0
T0427,20.2,26.5,26.5,26.5,26.5,26.5
T0428,20.2,26.5,26.5,26.5,26.5,26.5
T0429,17.9,21.0,21.0,21.0,21.0,21.0
T0430,17.9,21.0,21.0,21.0,21.0,21.0
T0431,17.9,21.0,21.0,21.0,21.0,21.0
T0432,14.5,14.7,14.7,14.7,14.7,14.7
T0433,14.5,14.7,14.7,14.7,14.7,14.7
T0434,14.5,14.7,14.7,14.7,14.7,14.7
T0435,14.5,14.7,14.7,14.7,14.7,14.7
T0436,14.5,14.7,14.7,14.7,14.7,14.7
T0437,14.5,14.7,14.7,14.7,14.7,14.7
T0438,14.5,14.7,14.7,14.7,14.7,14.7
T0439,14.5,14.7,14.7,14.7,14.7,14.7
T0440,17.9,21.0,21.0,21.0,21.0,21.0
T0441,17.9,21.0,21.0,21.0,21.0,21.0
T0442,20.2,26.5,26.5,26.5,26.5,26.5
T0443,20.2,26.5,26.5,26.5,26.5,26.5
T0444,17.9,21.0,21.0,21.0,21.0,21.0
T0445,17.9,21.0,21.0,21.0,21.0,21.0
T0446,17.9,21.0,21.0,21.0,21.0,21.0
T0447,17.9,21.0,21.0,21.0,21.0,21.0
T0448,17.9,21.0,21.0,21.0,21.0,21.0
T0449,17.9,21.0,21.0,21.0,21.0,21.0
T0450,17.9,21.0,21.0,21.0,21.0,21.0
T0451,20.2,26.5,26.5,26.5,26.5,26.5
T0452,20.2,26.5,26.5,26.5,26.5,26.5
T0453,17.9,21.0,21.0,21.0,21.0,21.0
T0454,17.9,21.0,21.0,21.0,21.0,21.0
T0455,17.9,21.0,21.0,21.0,21.0,21.0
T0456,14.5,14.7,14.7,14.7,14.7,14.7
T0457,14.5,14.7,14.7,14.7,14.7,14.7
T0458,14.5,14.7,14.7,14.7,14.7,14.7
T0459,14.5,14.7,14.7,14.7,14.7,14.7
T0460,14.5,14.7,14.7,14.7,14.7,14.7
T0461,14.5,14.7,14.7,14.7,14.7,14.7
T0462,14.5,14.7,14.7,14.7,14.7,14.7
T0463,14.5,14.7,14.7,14.7,14.7,14.7
T0464,17.9,21.0,21.0,21.0,21.0,21.0
T0465,17.9,21.0,21.0,21.0,21.0,21.0
T0466,20.2,26.5,26.5,26.5,26.5,26.5
T0467,20.2,26.5,26.5,26.5,26.5,26.5
T0468,17.9,21.0,21.0,21.0,21.0,21.0
T0469,17.9,21.0,21.0,21.0,21.0,21.0
T0470,17.9,21.0,21.0,21.0,21.0,21.0
T0471,17.9,21.0,21.0,21.0,21.0,21.0
T0472,17.9,21.0,21.0,21.0,21.0,21.0
T0473,17.9,21.0,21.0,21.0,21.0,21.0
T0474,17.9,21.0,21.0,21.0,21.0,21.0
T0475,20.2,26.5,26.5,26.5,26.5,26.5
T0476,20.2,26.5,26.5,26.5,26.5,26.5
T0477,17.9,21.0,21.0,21.0,21.0,21.0
T0478,17.9,21.0,21.0,21.0,21.0,21.0
T0479,17.9,21.0,21.0,21.0,21.0,21.0
T0480,14.5,14.7,14.7,14.7,14.7,14.7
T0481,14.5,14.7,14.7,14.7,14.7,14.7
T0482,14.5,14.7,14.7,14.7,14.7,14.7
T0483,14.5,14.7,14.7,14.7,14.7,14.7
T0484,14.5,14.7,14.7,14.7,14.7,14.7
T0485,14.5,14.7,14.7,14.7,14.7,14.7
T0486,14.5,14.7,14.7,14.7,14.7,14.7
T0487,14.5,14.7,14.7,14.7,14.7,14.7
T0488,17.9,21.0,21.0,21.0,21.0,21.0
T0489,17.9,21.0,21.0,21.0,21.0,21.0
T0490,20.2,26.5,26.5,26.5,26.5,26.5
T0491,20.2,26.5,26.5,26.5,26.5,26.5
T0492,17.9,21.0,21.0,21.0,21.0,21.0
T0493,17.9,21.0,21.0,21.0,21.0,21.0
