,AMV1,AMV4,AVV1,AVV2,HCV7,HCV8,SMV1_SMV7,KKV8,ARC,ARGO5,ARGO6,VF5,VF6,HOB_electric,HOB_biogas,HOB_fueloil,HOB_gasoil,HOB_natgas,HOB_pellets,HP_air
T0046,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,37.91521541,68.35,58.795,74.291,79.969,41.44,37.915
T0047,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,33.09636797,68.35,58.795,74.291,79.969,41.44,33.096
T0048,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,26.87858364,68.35,58.795,74.291,79.969,41.44,26.879
T0049,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,17.78094881,68.35,58.795,74.291,79.969,41.44,17.781
T0050,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,9.505831299,68.35,58.795,74.291,79.969,41.44,9.506
T0051,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,8.208245657,68.35,58.795,74.291,79.969,41.44,8.208
T0052,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,9.029799732,68.35,58.795,74.291,79.969,41.44,9.03
T0053,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,18.48559718,68.35,58.795,74.291,79.969,41.44,18.486
T0054,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,33.07379286,68.35,58.795,74.291,79.969,41.44,33.074
T0055,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,35.54694968,68.35,58.795,74.291,79.969,41.44,35.547
T0056,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,38.01649031,68.35,58.795,74.291,79.969,41.44,38.016
T0057,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,39.22709898,68.35,58.795,74.291,79.969,41.44,39.227
T0058,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,38.97794851,68.35,58.795,74.291,79.969,41.44,38.978
T0059,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,42.4996633,68.35,58.795,74.291,79.969,41.44,42.5
T0060,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,48.33618127,68.35,58.795,74.291,79.969,41.44,48.336
T0061,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,48.27989683,68.35,58.795,74.291,79.969,41.44,48.28
T0062,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,50.25879441,68.35,58.795,74.291,79.969,41.44,50.259
