,AMV3,AVV1,AVV2,AMV1,AMV4,ARC,ARGO5,ARGO6,HCV7,HCV8,KKV7,KKV8,VF5,VF6,HOB_BG,HOB_EL,HOB_FO,HOB_GO,HOB_NG,HOB_WP,HOB_WW,EH,HP
T6434,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,8.20,29.60,47.22,22.32,34.92,12.07,0.00,8.20
T6435,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,8.61,29.60,47.22,22.32,34.92,12.07,0.00,8.61
T6436,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,8.73,29.60,47.22,22.32,34.92,12.07,0.00,8.73
T6437,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,9.09,29.60,47.22,22.32,34.92,12.07,0.00,9.09
T6438,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,8.51,29.60,47.22,22.32,34.92,12.07,0.00,8.51
T6439,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,10.93,29.60,47.22,22.32,34.92,12.07,0.00,10.93
T6440,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,12.65,29.60,47.22,22.32,34.92,12.07,0.00,12.65
T6441,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,13.50,29.60,47.22,22.32,34.92,12.07,0.00,13.50
T6442,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,14.05,29.60,47.22,22.32,34.92,12.07,0.00,14.05
T6443,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,16.14,29.60,47.22,22.32,34.92,12.07,0.00,16.14
T6444,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,14.34,29.60,47.22,22.32,34.92,12.07,0.00,14.34
T6445,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,13.15,29.60,47.22,22.32,34.92,12.07,0.00,13.15
T6446,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,12.23,29.60,47.22,22.32,34.92,12.07,0.00,12.23
T6447,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,11.98,29.60,47.22,22.32,34.92,12.07,0.00,11.98
T6448,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,14.87,29.60,47.22,22.32,34.92,12.07,0.00,14.87
T6449,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,11.18,29.60,47.22,22.32,34.92,12.07,0.00,11.18
T6450,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,11.02,29.60,47.22,22.32,34.92,12.07,0.00,11.02
T6451,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,10.00,29.60,47.22,22.32,34.92,12.07,0.00,10.00
T6452,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,7.86,29.60,47.22,22.32,34.92,12.07,0.00,7.86
