T,value
T0117,85.35560910004715
T0118,85.35560910004715
T0119,85.35560910004715
T0120,85.35560910004715
T0121,85.35560910004715
T0122,85.35560910004715
T0123,85.35560910004715
T0124,85.35560910004715
T0125,85.35560910004715
T0126,85.35560910004715
T0127,85.35560910004715
T0128,85.35560910004715
T0129,85.35560910004715
T0130,85.35560910004715
T0131,85.35560910004715
T0132,85.35560910004715
T0133,85.35560910004715
T0134,85.35560910004715
T0135,85.35560910004715
T0136,85.35560910004715
T0137,85.35560910004715
T0138,85.35560910004715
T0139,85.35560910004715
T0140,85.35560910004715
T0141,85.35560910004715
T0142,85.35560910004715
T0143,85.35560910004715
T0144,85.35560910004715
T0145,85.35560910004715
T0146,85.35560910004715
T0147,85.35560910004715
T0148,85.35560910004715
T0149,85.35560910004715
T0150,85.35560910004715
T0151,85.35560910004715
T0152,85.35560910004715
T0153,85.35560910004715
T0154,85.35560910004715
T0155,85.35560910004715
T0156,85.35560910004715
T0157,85.35560910004715
T0158,85.35560910004715
T0159,85.35560910004715
T0160,85.35560910004715
T0161,85.35560910004715
T0162,85.35560910004715
T0163,85.35560910004715
T0164,85.35560910004715
T0165,85.35560910004715
T0166,85.35560910004715
T0167,85.35560910004715
T0168,85.35560910004715
T0169,85.35560910004715
T0170,85.35560910004715
T0171,85.35560910004715
T0172,85.35560910004715
T0173,85.35560910004715
T0174,85.35560910004715
T0175,85.35560910004715
T0176,85.35560910004715
T0177,85.35560910004715
T0178,85.35560910004715
T0179,85.35560910004715
T0180,85.35560910004715
T0181,85.35560910004715
T0182,85.35560910004715
T0183,85.35560910004715
T0184,85.35560910004715
T0185,85.35560910004715
T0186,85.35560910004715
T0187,85.35560910004715
T0188,85.35560910004715
T0189,85.35560910004715
T0190,85.35560910004715
T0191,85.35560910004715
T0192,85.35560910004715
T0193,85.35560910004715
T0194,85.35560910004715
T0195,85.35560910004715
T0196,85.35560910004715
T0197,85.35560910004715
T0198,85.35560910004715
T0199,85.35560910004715
T0200,85.35560910004715
T0201,85.35560910004715
T0202,85.35560910004715
T0203,85.35560910004715
T0204,85.35560910004715
T0205,85.35560910004715
T0206,85.35560910004715
T0207,85.35560910004715
T0208,85.35560910004715
T0209,85.35560910004715
T0210,85.35560910004715
T0211,85.35560910004715
T0212,85.35560910004715
T0213,85.35560910004715
T0214,85.35560910004715
T0215,85.35560910004715
T0216,85.35560910004715
T0217,85.35560910004715
T0218,85.35560910004715
T0219,85.35560910004715
T0220,85.35560910004715
T0221,85.35560910004715
T0222,85.35560910004715
T0223,85.35560910004715
T0224,85.35560910004715
T0225,85.35560910004715
T0226,85.35560910004715
T0227,85.35560910004715
T0228,85.35560910004715
T0229,85.35560910004715
T0230,85.35560910004715
T0231,85.35560910004715
T0232,85.35560910004715
T0233,85.35560910004715
T0234,85.35560910004715
T0235,85.35560910004715
T0236,85.35560910004715
T0237,85.35560910004715
T0238,85.35560910004715
T0239,85.35560910004715
T0240,85.35560910004715
T0241,85.35560910004715
T0242,85.35560910004715
T0243,85.35560910004715
T0244,85.35560910004715
T0245,85.35560910004715
T0246,85.35560910004715
T0247,85.35560910004715
T0248,85.35560910004715
T0249,85.35560910004715
T0250,85.35560910004715
T0251,85.35560910004715
T0252,85.35560910004715
T0253,85.35560910004715
T0254,85.35560910004715
T0255,85.35560910004715
T0256,85.35560910004715
T0257,85.35560910004715
T0258,85.35560910004715
T0259,85.35560910004715
T0260,85.35560910004715
T0261,85.35560910004715
T0262,85.35560910004715
T0263,85.35560910004715
T0264,85.35560910004715
T0265,85.35560910004715
T0266,85.35560910004715
T0267,85.35560910004715
T0268,85.35560910004715
T0269,85.35560910004715
T0270,85.35560910004715
T0271,85.35560910004715
T0272,85.35560910004715
T0273,85.35560910004715
T0274,85.35560910004715
T0275,85.35560910004715
T0276,85.35560910004715
T0277,85.35560910004715
T0278,85.35560910004715
T0279,85.35560910004715
T0280,85.35560910004715
T0281,85.35560910004715
T0282,85.35560910004715
T0283,85.35560910004715
T0284,85.35560910004715
T0285,85.35560910004715
T0286,85.35560910004715
T0287,85.35560910004715
T0288,85.35560910004715
T0289,85.35560910004715
T0290,85.35560910004715
T0291,85.35560910004715
T0292,85.35560910004715
T0293,85.35560910004715
T0294,85.35560910004715
T0295,85.35560910004715
T0296,85.35560910004715
T0297,85.35560910004715
T0298,85.35560910004715
T0299,85.35560910004715
T0300,85.35560910004715
T0301,85.35560910004715
T0302,85.35560910004715
T0303,85.35560910004715
T0304,85.35560910004715
T0305,85.35560910004715
T0306,85.35560910004715
T0307,85.35560910004715
T0308,85.35560910004715
T0309,85.35560910004715
T0310,85.35560910004715
T0311,85.35560910004715
T0312,85.35560910004715
T0313,85.35560910004715
T0314,85.35560910004715
T0315,85.35560910004715
T0316,85.35560910004715
T0317,85.35560910004715
T0318,85.35560910004715
T0319,85.35560910004715
T0320,85.35560910004715
T0321,85.35560910004715
T0322,85.35560910004715
T0323,85.35560910004715
T0324,85.35560910004715
T0325,85.35560910004715
T0326,85.35560910004715
T0327,85.35560910004715
T0328,85.35560910004715
T0329,85.35560910004715
T0330,85.35560910004715
T0331,85.35560910004715
T0332,85.35560910004715
T0333,85.35560910004715
T0334,85.35560910004715
T0335,85.35560910004715
T0336,85.35560910004715
T0337,85.35560910004715
T0338,85.35560910004715
T0339,85.35560910004715
T0340,85.35560910004715
T0341,85.35560910004715
T0342,85.35560910004715
T0343,85.35560910004715
T0344,85.35560910004715
T0345,85.35560910004715
T0346,85.35560910004715
T0347,85.35560910004715
T0348,85.35560910004715
T0349,85.35560910004715
T0350,85.35560910004715
T0351,85.35560910004715
T0352,85.35560910004715
T0353,85.35560910004715
T0354,85.35560910004715
T0355,85.35560910004715
T0356,85.35560910004715
T0357,85.35560910004715
T0358,85.35560910004715
T0359,85.35560910004715
T0360,85.35560910004715
T0361,85.35560910004715
T0362,85.35560910004715
T0363,85.35560910004715
T0364,85.35560910004715
T0365,85.35560910004715
T0366,85.35560910004715
T0367,85.35560910004715
T0368,85.35560910004715
T0369,85.35560910004715
T0370,85.35560910004715
T0371,85.35560910004715
T0372,85.35560910004715
T0373,85.35560910004715
T0374,85.35560910004715
T0375,85.35560910004715
T0376,85.35560910004715
T0377,85.35560910004715
T0378,85.35560910004715
T0379,85.35560910004715
T0380,85.35560910004715
T0381,85.35560910004715
T0382,85.35560910004715
T0383,85.35560910004715
T0384,85.35560910004715
T0385,85.35560910004715
T0386,85.35560910004715
T0387,85.35560910004715
T0388,85.35560910004715
T0389,85.35560910004715
T0390,85.35560910004715
T0391,85.35560910004715
T0392,85.35560910004715
T0393,85.35560910004715
T0394,85.35560910004715
T0395,85.35560910004715
T0396,85.35560910004715
T0397,85.35560910004715
T0398,85.35560910004715
T0399,85.35560910004715
T0400,85.35560910004715
T0401,85.35560910004715
T0402,85.35560910004715
T0403,85.35560910004715
T0404,85.35560910004715
T0405,85.35560910004715
T0406,85.35560910004715
T0407,85.35560910004715
T0408,85.35560910004715
T0409,85.35560910004715
T0410,85.35560910004715
T0411,85.35560910004715
T0412,85.35560910004715
T0413,85.35560910004715
T0414,85.35560910004715
T0415,85.35560910004715
T0416,85.35560910004715
T0417,85.35560910004715
T0418,85.35560910004715
T0419,85.35560910004715
T0420,85.35560910004715
T0421,85.35560910004715
T0422,85.35560910004715
T0423,85.35560910004715
T0424,85.35560910004715
T0425,85.35560910004715
T0426,85.35560910004715
T0427,85.35560910004715
T0428,85.35560910004715
T0429,85.35560910004715
T0430,85.35560910004715
T0431,85.35560910004715
T0432,85.35560910004715
T0433,85.35560910004715
T0434,85.35560910004715
T0435,85.35560910004715
T0436,85.35560910004715
T0437,85.35560910004715
T0438,85.35560910004715
T0439,85.35560910004715
T0440,85.35560910004715
T0441,85.35560910004715
T0442,85.35560910004715
T0443,85.35560910004715
T0444,85.35560910004715
T0445,85.35560910004715
T0446,85.35560910004715
T0447,85.35560910004715
T0448,85.35560910004715
T0449,85.35560910004715
T0450,85.35560910004715
T0451,85.35560910004715
T0452,85.35560910004715
T0453,85.35560910004715
T0454,85.35560910004715
T0455,85.35560910004715
T0456,85.35560910004715
T0457,85.35560910004715
T0458,85.35560910004715
T0459,85.35560910004715
T0460,85.35560910004715
T0461,85.35560910004715
T0462,85.35560910004715
T0463,85.35560910004715
T0464,85.35560910004715
T0465,85.35560910004715
T0466,85.35560910004715
T0467,85.35560910004715
T0468,85.35560910004715
T0469,85.35560910004715
T0470,85.35560910004715
T0471,85.35560910004715
T0472,85.35560910004715
T0473,85.35560910004715
T0474,85.35560910004715
T0475,85.35560910004715
T0476,85.35560910004715
T0477,85.35560910004715
T0478,85.35560910004715
T0479,85.35560910004715
T0480,85.35560910004715
T0481,85.35560910004715
T0482,85.35560910004715
T0483,85.35560910004715
T0484,85.35560910004715
T0485,85.35560910004715
T0486,85.35560910004715
T0487,85.35560910004715
T0488,85.35560910004715
T0489,85.35560910004715
T0490,85.35560910004715
T0491,85.35560910004715
T0492,85.35560910004715
T0493,85.35560910004715
T0494,85.35560910004715
T0495,85.35560910004715
T0496,85.35560910004715
T0497,85.35560910004715
T0498,85.35560910004715
T0499,85.35560910004715
T0500,85.35560910004715
T0501,85.35560910004715
T0502,85.35560910004715
T0503,85.35560910004715
T0504,85.35560910004715
T0505,85.35560910004715
T0506,85.35560910004715
T0507,85.35560910004715
T0508,85.35560910004715
T0509,85.35560910004715
T0510,85.35560910004715
T0511,85.35560910004715
T0512,85.35560910004715
T0513,85.35560910004715
T0514,85.35560910004715
T0515,85.35560910004715
T0516,85.35560910004715
T0517,85.35560910004715
T0518,85.35560910004715
T0519,85.35560910004715
T0520,85.35560910004715
T0521,85.35560910004715
T0522,85.35560910004715
T0523,85.35560910004715
T0524,85.35560910004715
