T,G_HR,value
T0570,HR_DC,70.74364752068
T0571,HR_DC,70.74364752068
T0572,HR_DC,70.74364752068
T0573,HR_DC,70.74364752068
T0574,HR_DC,70.74364752068
T0575,HR_DC,70.74364752068
T0576,HR_DC,70.74364752068
T0577,HR_DC,70.74364752068
T0578,HR_DC,70.74364752068
T0579,HR_DC,70.74364752068
T0580,HR_DC,70.74364752068
T0581,HR_DC,70.74364752068
T0582,HR_DC,70.74364752068
T0583,HR_DC,70.74364752068
T0584,HR_DC,70.74364752068
T0585,HR_DC,70.74364752068
T0586,HR_DC,70.74364752068
T0587,HR_DC,70.74364752068
T0588,HR_DC,70.74364752068
T0589,HR_DC,70.74364752068
T0590,HR_DC,70.74364752068
T0591,HR_DC,70.74364752068
T0592,HR_DC,70.74364752068
T0593,HR_DC,70.74364752068
T0594,HR_DC,70.74364752068
T0595,HR_DC,70.74364752068
T0596,HR_DC,70.74364752068
T0597,HR_DC,70.74364752068
T0598,HR_DC,70.74364752068
T0599,HR_DC,70.74364752068
T0600,HR_DC,70.74364752068
T0601,HR_DC,70.74364752068
T0602,HR_DC,70.74364752068
T0603,HR_DC,70.74364752068
T0604,HR_DC,70.74364752068
T0605,HR_DC,70.74364752068
T0606,HR_DC,70.74364752068
T0607,HR_DC,70.74364752068
T0608,HR_DC,70.74364752068
T0609,HR_DC,70.74364752068
T0610,HR_DC,70.74364752068
T0611,HR_DC,70.74364752068
T0612,HR_DC,70.74364752068
T0613,HR_DC,70.74364752068
T0614,HR_DC,70.74364752068
T0615,HR_DC,70.74364752068
T0616,HR_DC,70.74364752068
T0617,HR_DC,70.74364752068
T0618,HR_DC,70.74364752068
T0619,HR_DC,70.74364752068
T0620,HR_DC,70.74364752068
T0621,HR_DC,70.74364752068
T0622,HR_DC,70.74364752068
T0623,HR_DC,70.74364752068
T0624,HR_DC,70.74364752068
T0625,HR_DC,70.74364752068
T0626,HR_DC,70.74364752068
T0627,HR_DC,70.74364752068
T0628,HR_DC,70.74364752068
T0629,HR_DC,70.74364752068
T0630,HR_DC,70.74364752068
T0631,HR_DC,70.74364752068
T0632,HR_DC,70.74364752068
T0633,HR_DC,70.74364752068
T0634,HR_DC,70.74364752068
T0635,HR_DC,70.74364752068
T0636,HR_DC,70.74364752068
T0637,HR_DC,70.74364752068
T0638,HR_DC,70.74364752068
T0639,HR_DC,70.74364752068
T0640,HR_DC,70.74364752068
T0641,HR_DC,70.74364752068
T0642,HR_DC,70.74364752068
T0643,HR_DC,70.74364752068
T0644,HR_DC,70.74364752068
T0645,HR_DC,70.74364752068
T0646,HR_DC,70.74364752068
T0647,HR_DC,70.74364752068
T0648,HR_DC,70.74364752068
T0649,HR_DC,70.74364752068
T0650,HR_DC,70.74364752068
T0651,HR_DC,70.74364752068
T0652,HR_DC,70.74364752068
T0653,HR_DC,70.74364752068
T0654,HR_DC,70.74364752068
T0655,HR_DC,70.74364752068
T0656,HR_DC,70.74364752068
T0657,HR_DC,70.74364752068
T0658,HR_DC,70.74364752068
T0659,HR_DC,70.74364752068
T0660,HR_DC,70.74364752068
T0661,HR_DC,70.74364752068
T0662,HR_DC,70.74364752068
T0663,HR_DC,70.74364752068
T0664,HR_DC,70.74364752068
T0665,HR_DC,70.74364752068
T0666,HR_DC,70.74364752068
